@relation data_159

@attribute idno numeric
@attribute y numeric
@attribute w numeric
@attribute x1 {0,1}
@attribute x2 {0,1}
@attribute x3 {0,1}
@attribute z1 {0,1}
@attribute z2 {0,1}
@attribute z3 {0,1}
@attribute z4 {0,1}
@attribute z5 {0,1}
@attribute z6 numeric
@attribute z7 {0,1}
@attribute z8 numeric
@attribute binaryClass {P,N}

@data
10249,2,1.2,0,0,0,0,0,0,1,0,7,1,0.6,N
10253,1,0.899,0,0,1,0,0,0,0,0,8,0,2.6,P
10254,1,0.913,0,1,0,0,1,0,0,0,9,1,-0.6,N
10256,2,1.146,0,1,0,0,0,0,0,0,10,0,-2.6,P
10260,2,0.81,0,0,0,0,0,0,1,0,5,0,-1,N
10262,2,0.81,0,1,0,0,0,0,0,0,3,0,-1,N
10280,2,0.56,0,1,0,0,0,0,0,0,9,0,0.3,P
10281,2,0.751,0,1,0,0,1,0,0,0,7,1,-2.2,P
10284,2,0.791,0,0,1,0,0,0,0,0,9,0,-1.8,P
10288,0,1.146,0,1,0,0,1,0,0,0,7,0,-3,P
10294,1,0.81,0,1,0,0,0,0,0,0,9,0,-0.7,N
10311,2,0.81,0,1,0,0,1,0,0,0,9,0,-1,N
10314,0,0.899,0,0,1,0,1,0,0,0,0,0,2.5,P
10316,2,0.595,0,1,0,0,0,0,1,0,7,1,0.1,P
10324,1,0.592,0,0,1,0,0,0,0,0,11,0,1.4,P
10326,1,1.317,0,0,1,0,0,1,0,0,8,1,1.9,P
10338,2,1.502,0,0,0,1,0,0,1,1,8,1,-2.4,N
10341,1,0.592,0,0,1,1,0,0,1,0,0,0,1.4,P
10343,2,0.456,0,1,0,1,0,0,1,0,11,1,-0.7,N
10344,2,0.376,0,0,0,1,0,0,0,0,5,1,-1.8,P
10345,1,0.81,0,0,0,1,0,1,0,0,9,0,-1.1,N
10346,2,0.592,0,0,0,1,0,0,0,0,10,0,1.1,P
10347,1,1.317,0,1,0,0,0,0,0,0,8,1,2,P
10352,2,1.185,0,0,1,0,0,0,0,0,10,0,0.8,N
10355,1,1.499,0,0,1,0,0,0,0,0,8,1,-2.7,N
10358,1,1.121,0,0,1,0,0,0,0,0,10,0,-0.4,N
10362,2,0.81,0,1,0,0,1,0,0,0,10,0,-0.8,N
10384,2,2.499,0,1,0,0,1,0,0,0,10,1,-2.7,P
10385,2,0.791,0,1,0,0,0,0,0,0,9,0,-1.9,N
10386,1,0.899,0,0,1,0,0,0,1,0,3,0,2.5,P
10387,0,1.185,0,0,0,0,1,0,0,0,2,0,1.3,P
10390,2,0.791,0,0,0,0,0,0,0,0,5,0,-2.1,N
10396,2,0.5,0,0,1,0,1,0,0,0,10,1,-2.8,N
10404,2,0.791,0,0,1,0,1,0,0,0,9,0,-2.4,N
10412,2,0.913,0,0,0,1,0,0,1,0,8,1,-1.1,N
10413,1,0.595,0,0,0,0,0,0,1,0,8,1,0.4,P
10415,2,0.81,0,0,0,0,1,0,0,0,3,0,-1.1,P
10416,2,1.777,0,0,1,0,0,0,0,0,10,0,0.6,P
10418,2,0.791,0,0,0,0,1,0,0,0,6,0,-2,P
10419,2,0.751,0,0,0,1,0,0,1,0,9,1,-2,P
10421,2,1.317,0,0,1,0,0,0,0,0,5,1,1.8,P
10424,2,0.791,0,0,1,0,0,0,0,0,7,0,-2.2,P
10429,2,0.395,0,1,0,0,0,0,0,0,9,0,-2,N
10433,2,0.382,0,0,1,0,0,0,0,0,10,0,-2.9,N
10437,0,0.751,0,1,0,0,0,1,0,0,5,1,-2,P
10440,2,0.395,0,0,0,0,0,0,0,0,6,0,-2.5,N
10443,2,1.681,0,0,0,1,0,0,0,0,5,0,-0.4,P
10445,2,0.395,0,0,0,1,0,0,0,0,11,0,-2.1,N
10447,1,0.899,0,0,1,1,0,0,0,0,4,0,3.3,P
10448,2,0.791,0,0,1,0,0,0,0,0,6,0,-2.1,N
10449,2,0.659,0,0,1,0,0,0,1,0,5,1,2.8,N
10450,2,0.913,0,0,0,1,0,0,0,0,7,1,-1.3,N
10451,2,1.777,0,0,1,0,0,0,0,0,7,0,1.1,N
10455,2,1.976,0,0,1,1,0,0,0,0,6,0,-2.5,N
10464,1,0.81,0,0,1,1,0,0,1,0,10,0,-1.1,P
10468,2,0.405,0,0,0,1,1,0,0,0,8,0,-0.6,P
10469,1,0.899,0,0,1,1,0,0,1,0,3,0,2.9,P
10470,1,3.057,0,0,1,1,0,0,0,0,12,0,-2.8,N
10471,2,0.376,0,0,0,1,0,0,1,0,7,1,-2.5,N
10479,1,0.751,0,0,0,1,0,0,0,0,10,1,-2.3,N
10485,1,0.395,0,1,0,0,0,0,0,0,6,0,-2.5,P
10488,1,1.369,0,1,0,0,0,0,0,0,5,1,-0.6,N
10491,2,1.499,0,0,1,0,0,0,0,0,7,1,-3.1,P
10492,2,0.5,0,0,0,0,0,0,0,0,8,1,-2.6,N
10496,2,1.127,0,1,0,0,0,0,0,0,7,1,-2.1,N
10498,2,0.376,0,1,0,0,0,0,0,0,10,1,-1.7,P
10500,1,0.395,0,1,0,0,0,0,0,0,9,0,-2.2,P
10501,2,0.659,0,0,1,0,1,0,0,0,5,1,3.3,P
10506,1,1.2,0,1,0,1,0,0,0,0,4,1,1.4,P
10507,1,0.659,0,0,0,0,0,0,1,0,12,1,1.7,N
10508,0,0.791,0,0,1,0,1,0,0,0,3,0,-1.7,P
10509,1,0.405,0,0,0,0,0,0,1,0,7,0,-1.1,N
10511,2,1.581,0,1,0,0,1,0,0,0,10,0,-1.6,P
10512,2,1.369,0,1,0,0,0,0,0,0,11,1,-1.3,P
10516,2,0.913,0,0,0,0,1,0,0,0,1,1,-0.8,P
10520,2,1.121,0,0,0,0,1,0,0,0,8,0,0.4,N
10521,2,0.395,0,1,0,0,0,0,0,0,9,0,-2.5,N
10525,2,0.791,0,1,0,0,0,0,1,1,6,0,-2,P
10527,2,2.499,0,1,0,0,0,1,0,0,8,1,-2.6,P
10530,1,0.791,0,1,0,0,0,0,0,0,10,0,-2,N
10531,1,1.499,0,1,0,0,0,0,1,1,10,1,-3.2,P
10532,2,1.186,0,0,0,0,1,0,0,0,6,0,-1.9,N
10533,2,1.189,0,1,0,0,0,0,1,0,6,1,-0.5,P
10534,2,1.2,0,0,0,0,1,0,0,0,9,1,0.7,N
10535,1,0.395,0,0,1,0,0,0,0,0,11,0,-1.7,N
10537,1,0.405,0,0,1,0,0,0,0,0,9,0,-1.4,P
10541,0,1.999,0,0,0,1,0,0,0,0,8,1,-3.1,N
10548,1,0.395,0,0,0,1,1,0,0,0,10,0,-2.2,N
10554,2,0.791,0,0,0,0,1,0,0,0,6,0,-2.3,N
10570,1,0.376,0,1,0,0,1,0,0,0,8,1,-1.8,N
10576,2,1.502,0,0,0,1,1,0,0,0,8,1,-2,N
10577,2,0.913,0,0,1,1,0,1,0,0,8,1,-1.1,N
10581,2,0.751,0,0,1,1,0,0,0,0,7,1,-2.2,N
10584,2,0.595,0,0,0,1,1,0,0,0,8,1,-0.1,P
10585,2,0.592,0,0,0,1,1,0,0,0,9,0,1.2,N
10587,2,1.2,0,0,0,1,0,0,1,1,6,1,1.1,N
10590,1,0.456,0,0,0,1,0,0,0,0,8,1,-1.1,N
