@relation data_176

@attribute OBS numeric
@attribute MORPHINE numeric
@attribute DEL9_THC numeric
@attribute REP {1,2}
@attribute SPON_ACT numeric
@attribute TEMP_B numeric
@attribute binaryClass {P,N}

@data
1,0,0,1,147,38,N
2,0,0,1,92,39,N
3,0,0,1,95,38,N
4,0,0,1,119,38,N
5,0,0,1,82,38.5,N
6,0,0,1,81,38.5,N
7,0,0,2,46,37.5,N
8,0,0,2,61,38,N
9,0,0,2,92,37,N
10,0,0,2,52,37,P
11,0,0,2,47,38.5,N
12,0,0,2,55,38,N
13,0,0.5,1,33,37.5,P
14,0,0.5,1,63,38.5,N
15,0,0.5,1,135,38.5,N
16,0,0.5,1,152,39,N
17,0,0.5,1,97,38,N
18,0,0.5,1,110,39,N
19,0,0.5,2,86,38,N
20,0,0.5,2,53,39,N
21,0,0.5,2,43,39,N
22,0,0.5,2,85,39,N
23,0,0.5,2,53,38,P
24,0,0.5,2,129,38.5,N
25,0,1,1,275,37,N
26,0,1,1,77,38,N
27,0,1,1,110,37.5,N
28,0,1,1,112,38.5,N
29,0,1,1,221,38.5,N
30,0,1,1,163,39,N
31,0,1,2,33,39,N
32,0,1,2,135,38.5,N
33,0,1,2,172,39,N
34,0,1,2,89,38,N
35,0,1,2,54,39.5,P
36,0,1,2,45,39,N
37,0,2.5,1,49,40,N
38,0,2.5,1,117,38.5,P
39,0,2.5,1,120,38.5,N
40,0,2.5,1,121,39.5,P
41,0,2.5,1,111,39.5,N
42,0,2.5,1,187,39,N
43,0,2.5,2,34,38.5,P
44,0,2.5,2,23,38,N
45,0,2.5,2,79,38.5,N
46,0,2.5,2,55,39,P
47,0,2.5,2,73,38.5,N
48,0,2.5,2,31,38,P
49,0,5,1,14,38,P
50,0,5,1,19,39,P
51,0,5,1,5,39,P
52,0,5,1,3,39.5,P
53,0,5,1,20,39,P
54,0,5,1,45,39,P
55,0,5,2,10,39,P
56,0,5,2,42,38,P
57,0,5,2,17,38.5,P
58,0,5,2,15,39,P
59,0,5,2,31,39,P
60,0,5,2,113,39,P
61,0,10,1,5,38.5,P
62,0,10,1,6,38.5,P
63,0,10,1,35,39,P
64,0,10,1,54,38,P
65,0,10,1,134,38.5,P
66,0,10,1,4,39,P
67,0,10,2,5,38.5,P
68,0,10,2,25,38,P
69,0,10,2,2,39,P
70,0,10,2,14,38.5,P
71,0,10,2,3,38.5,P
72,0,10,2,0,39,P
73,0,15,1,1,37.5,P
74,0,15,1,0,37.5,P
75,0,15,1,0,37.5,P
76,0,15,1,0,37.5,P
77,0,15,1,17,38,P
78,0,15,1,4,38,P
79,0,15,2,4,39.5,P
80,0,15,2,31,39,P
81,0,15,2,13,39,P
82,0,15,2,15,39.5,P
83,0,15,2,0,39,P
84,0,15,2,12,39.5,N
