@relation data_177

@attribute OBS numeric
@attribute REP numeric
@attribute MORPHINE numeric
@attribute DEL9_THC numeric
@attribute FLICK_C numeric
@attribute binaryClass {P,N}

@data
1,1,0,0,2.2,P
2,1,0,0,3.6,P
3,1,0,0,3.7,P
4,1,0,0,3.1,P
5,1,0,0,2.4,P
6,1,0,0,2.4,P
7,1,0,0.5,3.9,N
8,1,0,0.5,3,P
9,1,0,0.5,2.2,P
10,1,0,0.5,2.5,P
11,1,0,0.5,2,P
12,1,0,0.5,3.8,P
13,1,0,1,2.8,P
14,1,0,1,3.9,N
15,1,0,1,2.2,P
16,1,0,1,3.4,P
17,1,0,1,2.6,N
18,1,0,1,3.2,P
19,1,0,2.5,2.7,P
20,1,0,2.5,3,N
21,1,0,2.5,2.9,P
22,1,0,2.5,2.6,P
23,1,0,2.5,2,N
24,1,0,2.5,3.7,P
25,1,0,5,2.3,N
26,1,0,5,2.6,P
27,1,0,5,3.2,P
28,1,0,5,3.4,N
29,1,0,5,2.9,P
30,1,0,5,3.2,P
31,1,0.5,0,2.2,P
32,1,0.5,0,3.2,P
33,1,0.5,0,2.7,P
34,1,0.5,0,2.4,P
35,1,0.5,0,2,P
36,1,0.5,0,2.1,P
37,1,0.5,0.5,2.6,P
38,1,0.5,0.5,2.9,P
39,1,0.5,0.5,2.2,P
40,1,0.5,0.5,2.2,P
41,1,0.5,0.5,2.9,P
42,1,0.5,0.5,2.6,P
43,1,0.5,1,2.4,P
44,1,0.5,1,2.6,N
45,1,0.5,1,2.8,P
46,1,0.5,1,2.4,N
47,1,0.5,1,2.3,P
48,1,0.5,1,2.3,P
49,1,0.5,2.5,2.2,P
50,1,0.5,2.5,2.9,P
51,1,0.5,2.5,2.7,N
52,1,0.5,2.5,3,P
53,1,0.5,2.5,2.6,P
54,1,0.5,2.5,2.3,P
55,1,0.5,5,2.3,N
56,1,0.5,5,2.5,P
57,1,0.5,5,2.6,N
58,1,0.5,5,3.9,N
59,1,0.5,5,3.2,P
60,1,0.5,5,3.2,N
61,1,1,0,2.3,P
62,1,1,0,3.6,P
63,1,1,0,2.3,P
64,1,1,0,2,P
65,1,1,0,3.1,P
66,1,1,0,2.7,P
67,1,1,0.5,3.3,P
68,1,1,0.5,2.9,P
69,1,1,0.5,2.3,P
70,1,1,0.5,3.7,N
71,1,1,0.5,2.6,N
72,1,1,0.5,2.4,P
73,1,1,1,2,N
74,1,1,1,2.7,P
75,1,1,1,2.4,P
76,1,1,1,3.3,P
77,1,1,1,3.1,P
78,1,1,1,3.6,N
79,1,1,2.5,2.4,N
80,1,1,2.5,2.3,N
81,1,1,2.5,2.9,N
82,1,1,2.5,3.5,N
83,1,1,2.5,2.6,N
84,1,1,2.5,2.3,N
85,1,1,5,2.8,N
86,1,1,5,2.5,N
87,1,1,5,2.6,P
88,1,1,5,2.4,N
89,1,1,5,2.9,N
90,1,1,5,2,N
91,1,2.5,0,2.2,P
92,1,2.5,0,2.3,P
93,1,2.5,0,2.6,P
94,1,2.5,0,3.1,P
95,1,2.5,0,2.8,N
96,1,2.5,0,3.4,P
97,1,2.5,0.5,3.8,P
98,1,2.5,0.5,2.3,N
99,1,2.5,0.5,2.8,N
100,1,2.5,0.5,3.5,P
101,1,2.5,0.5,2.4,N
102,1,2.5,0.5,2.2,N
103,1,2.5,1,3.2,N
104,1,2.5,1,3.6,N
105,1,2.5,1,2,N
106,1,2.5,1,2.2,N
107,1,2.5,1,3.1,N
108,1,2.5,1,3.9,N
109,1,2.5,2.5,2.2,N
110,1,2.5,2.5,3.1,N
111,1,2.5,2.5,2.7,N
112,1,2.5,2.5,2.8,N
113,1,2.5,2.5,2.6,N
114,1,2.5,2.5,3,N
115,1,2.5,5,3.1,N
116,1,2.5,5,3.8,N
117,1,2.5,5,3,N
118,1,2.5,5,3.6,N
119,1,2.5,5,2.3,N
120,1,2.5,5,2,N
121,1,5,0,2.1,P
122,1,5,0,2.7,P
123,1,5,0,2.9,N
124,1,5,0,3.2,P
125,1,5,0,2.7,P
126,1,5,0,2.6,N
127,1,5,0.5,2.1,N
128,1,5,0.5,2.6,P
129,1,5,0.5,2,N
130,1,5,0.5,2.1,N
131,1,5,0.5,2,N
132,1,5,0.5,2.4,N
133,1,5,1,2.6,N
134,1,5,1,3.6,N
135,1,5,1,3.2,N
136,1,5,1,2.6,N
137,1,5,1,3.5,N
138,1,5,1,2.6,N
139,1,5,2.5,2.4,N
140,1,5,2.5,3.9,N
141,1,5,2.5,2.7,N
142,1,5,2.5,3.6,N
143,1,5,2.5,3,N
144,1,5,2.5,2.4,N
145,1,5,5,3.3,N
146,1,5,5,3.1,N
147,1,5,5,2.6,N
148,1,5,5,2.7,N
149,1,5,5,3.4,N
150,1,5,5,2.5,N
151,2,0,0,3.1,P
152,2,0,0,3,P
153,2,0,0,3.9,P
154,2,0,0,2.8,P
155,2,0,0,3.6,P
156,2,0,0,2.5,P
157,2,0,0.5,3.4,P
158,2,0,0.5,3.5,P
159,2,0,0.5,2.2,P
160,2,0,0.5,3.2,P
161,2,0,0.5,2,P
162,2,0,0.5,3.1,P
163,2,0,1,3.6,N
164,2,0,1,2.8,P
165,2,0,1,3.7,P
166,2,0,1,?,N
167,2,0,1,3,P
168,2,0,1,3.3,P
169,2,0,2.5,3.3,P
170,2,0,2.5,3.2,N
171,2,0,2.5,2.6,P
172,2,0,2.5,3,P
173,2,0,2.5,3.2,P
174,2,0,2.5,2.6,P
175,2,0,5,3.7,N
176,2,0,5,3,N
177,2,0,5,3.3,N
178,2,0,5,2,N
179,2,0,5,2,N
180,2,0,5,3.8,N
181,2,2,0,3,P
182,2,2,0,3.5,P
183,2,2,0,2.7,P
184,2,2,0,2.4,P
185,2,2,0,3.8,P
186,2,2,0,2.3,P
187,2,2,0.5,3,N
188,2,2,0.5,2.7,N
189,2,2,0.5,2,P
190,2,2,0.5,2.5,P
191,2,2,0.5,3.4,P
192,2,2,0.5,2,P
193,2,2,1,3.4,N
194,2,2,1,2.4,P
195,2,2,1,2.6,P
196,2,2,1,2.5,P
197,2,2,1,2.5,N
198,2,2,1,?,N
199,2,2,2.5,2.8,N
200,2,2,2.5,3.5,N
201,2,2,2.5,2.1,N
202,2,2,2.5,3.9,N
203,2,2,2.5,3.3,N
204,2,2,2.5,?,N
205,2,2,5,2.5,N
206,2,2,5,2,N
207,2,2,5,2.5,N
208,2,2,5,2.7,N
209,2,2,5,3.1,N
210,2,2,5,2.7,N
211,2,4,0,3.9,P
212,2,4,0,2.6,P
213,2,4,0,3.5,P
214,2,4,0,3.5,N
215,2,4,0,2.8,P
216,2,4,0,3.4,P
217,2,4,0.5,2.3,P
218,2,4,0.5,2.9,N
219,2,4,0.5,?,N
220,2,4,0.5,3.5,P
221,2,4,0.5,2.4,N
222,2,4,0.5,3,N
223,2,4,1,2.9,N
224,2,4,1,3.1,N
225,2,4,1,2.4,N
226,2,4,1,3.3,N
227,2,4,1,3.7,N
228,2,4,1,3,N
229,2,4,2.5,2.3,N
230,2,4,2.5,2.6,N
231,2,4,2.5,3.3,N
232,2,4,2.5,3.5,N
