@relation data_182

@attribute No numeric
@attribute TIME numeric
@attribute CENSOR {0,1}
@attribute TOWD {30,100}
@attribute DELDEPTH numeric
@attribute LENGTH numeric
@attribute HANDTIME numeric
@attribute binaryClass {P,N}

@data
1,209,1,30,13,41,8,N
2,209,1,30,13,44,8,N
3,209,1,30,13,47,10,N
4,209,1,30,13,34,10,N
5,38,1,30,13,40,11,N
6,209,1,30,13,42,11,N
7,140.9,1,30,13,41,12,N
8,140.9,1,30,13,30,12,N
9,140.1,1,30,1,45,4,P
10,208,1,30,1,47,5,P
11,140.1,1,30,1,44,5,P
12,39.3,1,30,1,37,5,P
13,45.3,1,30,1,44,6,P
14,50.3,1,30,1,44,6,P
15,139.1,1,30,6,46,8,P
16,279,1,30,6,49,8,P
17,92,1,30,6,39,9,P
18,207,1,30,6,46,9,P
19,207,1,30,6,43,9,P
20,139.8,1,30,6,44,10,P
21,139.8,1,30,6,50,10,P
22,66.5,1,30,2,31,3,P
23,397,1,30,2,52,3,P
24,32.3,1,30,2,47,3,P
25,44.3,1,30,2,40,4,P
26,1200,0,30,2,48,5,P
27,85,1,30,2,48,5,P
28,28.2,1,30,2,48,7,P
29,228,1,30,2,51,1,P
30,136.3,1,30,2,29,1,P
31,44.9,1,30,3,47,12,P
32,42.1,1,30,3,50,14,P
33,55.7,1,30,3,41,14,P
34,42.1,1,30,3,40,14,P
35,40.1,1,30,3,45,15,P
36,44.8,1,30,3,40,15,P
37,19.9,1,30,3,48,16,P
38,21.1,1,30,3,36,17,P
39,65.7,1,30,4,43,4,P
40,44.1,1,30,4,42,4,P
41,19.4,1,30,4,32,5,P
42,44.1,1,30,4,36,5,P
43,50.3,1,30,4,32,6,P
44,16.4,1,30,4,34,6,P
45,157.4,1,30,5,46,3,P
46,29.5,1,30,5,32,2,P
47,63.8,1,30,5,33,3,P
48,37.5,1,30,5,47,3,P
49,48.5,1,30,5,42,4,P
50,132.5,1,30,5,44,4,P
51,23.5,1,30,5,37,4,P
52,27.5,1,30,5,32,5,P
53,72,1,30,2,38,6,N
54,1200,0,30,2,45,11,N
55,216,1,30,2,57,12,N
56,20.6,1,30,5,44,2,P
57,30.6,1,30,5,50,2,P
58,10.6,1,30,5,43,3,P
59,22.1,1,30,5,49,3,P
60,123.6,1,30,5,43,3,P
61,22.1,1,30,5,41,4,P
62,264,1,30,5,43,4,P
63,30.6,1,30,5,41,5,P
64,14.6,1,30,5,45,5,P
65,11.2,1,30,5,37,5,P
66,28.6,1,30,5,42,6,P
67,30.6,1,30,5,44,6,P
68,17.5,1,30,5,41,7,P
69,22,1,30,5,44,7,P
70,20.5,1,30,5,42,8,P
71,30.5,1,30,5,40,8,P
72,17,1,30,5,31,9,P
73,22,1,30,5,33,9,P
74,28.6,1,30,5,48,3,P
75,20.1,1,30,5,46,3,P
76,20.1,1,30,5,33,4,P
77,18.6,1,30,5,32,4,P
78,17.6,1,30,5,32,5,P
79,18.6,1,30,5,46,5,P
80,18.5,1,30,5,44,6,P
81,26.5,1,30,5,46,6,P
82,16.5,1,30,5,41,7,P
83,18.5,1,30,5,34,8,P
84,28.5,1,30,5,40,8,P
85,18.5,1,30,5,32,9,P
86,20,1,30,5,43,9,P
87,18.5,1,30,5,41,9,P
88,18.5,1,30,5,38,9,P
89,356,1,30,6,40,14,N
90,1200,0,30,6,46,15,N
91,188,1,30,6,41,15,N
92,120.2,1,30,6,41,22,N
93,188,1,30,6,34,25,N
94,5.3,1,30,6,43,27,N
95,260,1,30,6,40,28,N
96,185,1,30,15,36,4,N
97,185,1,30,15,46,4,N
98,713,1,30,15,42,4,N
99,1200,0,30,15,47,5,N
100,353,1,30,15,39,5,N
101,377,1,30,15,38,5,N
102,185,1,30,15,37,6,N
103,185,1,30,15,41,6,N
104,353,1,30,15,40,6,N
105,117,1,30,15,38,7,N
106,905,1,30,15,35,7,N
107,117,1,30,15,36,7,N
108,29.5,1,100,5,46,26,N
109,11,1,100,5,44,29,N
110,1.5,1,100,5,44,35,N
111,29.5,1,100,5,49,38,N
112,15,1,100,10,42,4,N
113,64,0,100,10,53,4,N
114,156,1,100,10,42,4,N
115,64,0,100,10,57,4,N
116,500,1,100,10,44,4,N
117,131,1,100,10,44,4,N
118,59,0,100,10,48,4,N
119,64,0,100,10,40,4,N
120,17.3,1,100,10,47,4,N
121,16,1,100,10,48,4,N
122,21,1,100,10,46,4,N
123,16.2,1,100,10,48,4,N
124,16.2,1,100,10,43,4,N
125,162.1,1,100,10,41,4,N
126,21,1,100,10,43,4,N
127,64,0,100,10,50,4,N
128,64,0,100,10,53,9,N
129,240,1,100,10,50,9,N
130,404,1,100,10,46,9,N
131,126,1,100,10,46,9,N
132,15,1,100,10,36,9,N
133,125,1,100,10,44,9,N
134,16,1,100,10,42,9,N
135,122,1,100,10,44,9,N
136,126,1,100,10,45,9,N
137,122,1,100,10,43,9,N
138,21,1,100,10,40,9,N
139,1196,1,100,10,44,14,N
140,1097,1,100,6,48,6,P
141,61.5,0,100,6,57,6,P
142,23.5,1,100,6,44,8,P
143,61.5,1,100,6,41,9,P
144,19.5,1,100,6,44,9,P
145,61.5,0,100,6,53,12,P
146,183,1,100,6,42,14,P
147,108.5,1,100,6,45,14,P
148,61.5,0,100,6,45,15,P
149,4,1,100,6,42,16,P
150,21.4,1,100,6,49,17,P
151,20.4,1,100,6,46,17,P
152,185.2,1,100,6,49,18,P
153,23.4,1,100,6,39,18,P
154,13.3,1,100,6,43,19,P
155,13.1,1,100,6,33,19,P
156,17.3,1,100,6,36,19,P
157,15.4,1,100,6,47,20,P
158,13,1,100,6,36,20,P
159,8.5,0,100,6,40,20,P
160,19.3,1,100,6,36,21,P
161,16.4,1,100,6,44,21,P
162,13.2,1,100,6,39,22,P
163,8.7,0,100,6,40,22,P
164,13.2,1,100,6,46,22,P
165,13.3,1,100,6,40,22,P
166,17.2,1,100,6,44,23,P
167,108.2,1,100,6,35,24,P
168,15.2,1,100,6,43,25,P
169,23.2,1,100,6,32,26,P
170,4.2,1,100,6,34,27,P
171,20.2,1,100,6,47,26,P
172,81,1,100,2,50,5,P
173,59,0,100,2,54,5,P
174,2,1,100,2,43,11,P
175,120.1,1,100,2,51,12,P
176,11.1,1,100,2,47,12,P
177,39.9,1,100,8,54,7,P
178,99.9,1,100,8,42,7,P
179,35.9,1,100,8,47,7,P
180,77.9,1,100,8,32,7,P
181,36.9,1,100,8,44,7,P
182,99.9,1,100,8,34,7,P
183,163.7,1,100,8,36,7,P
184,39.9,1,100,8,50,7,P
185,39.9,1,100,8,48,7,P
186,176.1,1,100,8,45,7,P
187,141.1,1,100,8,45,7,P
188,72.9,1,100,8,35,7,P
189,33.9,1,100,8,48,11,P
190,39.8,1,100,8,44,11,P
191,29.8,1,100,8,39,11,P
192,37.8,1,100,8,46,12,P
193,40,1,100,8,51,12,P
194,30,1,100,8,45,12,P
195,29.5,1,100,8,42,13,P
196,29.8,1,100,8,43,14,P
197,29.8,1,100,8,45,14,P
198,36.8,1,100,8,46,14,P
199,39.8,1,100,8,33,14,P
200,30,1,100,8,45,14,P
201,31.1,1,100,8,38,14,P
202,33.8,1,100,8,44,16,P
203,33.8,1,100,8,47,17,P
204,31.8,1,100,8,45,17,P
205,32.9,1,100,8,33,17,P
206,30,1,100,8,40,17,P
207,29.8,1,100,8,43,17,P
208,29.8,1,100,8,46,17,P
209,35.8,1,100,8,48,17,P
210,36.8,1,100,8,47,17,P
211,29.8,1,100,8,35,17,P
212,60.8,0,100,8,53,17,P
213,32,1,100,8,41,17,P
214,29.8,1,100,8,45,17,P
215,36.7,1,100,8,45,22,P
216,29.8,1,100,8,46,22,P
217,96,1,100,23,42,3,N
218,3,1,100,23,45,8,N
219,9.3,1,100,23,52,8,N
220,51.3,0,100,23,50,8,N
221,5.3,1,100,23,47,13,N
222,3.2,1,100,23,45,13,N
223,3.3,1,100,23,46,13,N
224,3.2,1,100,23,38,13,N
225,3.1,1,100,23,33,18,N
226,3.1,1,100,23,34,18,N
227,3.1,1,100,23,45,18,N
228,51,0,100,23,54,18,N
229,3,1,100,23,49,23,N
230,5.2,1,100,23,39,23,N
231,3,1,100,23,43,23,N
232,3,1,100,23,46,23,N
233,3.2,1,100,23,43,23,N
234,13,1,100,23,39,23,N
235,4.2,1,100,23,45,28,N
236,5,1,100,23,33,28,N
237,33.9,1,100,23,42,28,N
238,7.9,1,100,23,43,28,N
239,2.5,1,100,23,41,28,N
240,8,1,100,23,52,28,N
241,2.7,1,100,23,37,28,N
242,2.9,1,100,23,42,28,N
243,4,1,100,23,36,33,N
244,7.8,1,100,23,35,33,N
245,2.6,1,100,23,33,33,N
246,2.8,1,100,23,37,36,N
247,2.6,1,100,23,43,36,N
248,2.8,1,100,23,36,36,N
249,10.5,1,100,10,42,4,P
250,23.5,1,100,10,53,4,P
251,11.8,1,100,10,48,4,P
252,23.5,1,100,10,50,4,P
253,10.5,1,100,10,49,6,P
254,39.4,1,100,10,53,6,P
255,1.5,1,100,10,38,7,P
256,11.8,1,100,10,51,8,P
257,11.8,1,100,10,49,8,P
258,1.5,1,100,10,37,9,P
259,1.5,1,100,10,49,9,P
260,10.4,1,100,10,49,10,P
261,1.7,1,100,10,45,10,P
262,10.4,1,100,10,46,11,P
263,82.3,1,100,10,41,12,P
264,10.4,1,100,10,46,12,P
265,1.5,1,100,10,48,12,P
266,10.4,1,100,10,48,13,P
267,11.7,1,100,10,55,13,P
268,1.4,1,100,10,37,14,P
269,159,1,100,10,34,15,P
270,1.4,1,100,10,34,15,P
271,11.6,1,100,10,53,16,P
272,23.2,1,100,10,44,16,P
273,3.2,1,100,10,37,16,P
274,1.5,1,100,10,34,16,P
275,102.2,1,100,10,36,17,P
276,82.2,1,100,10,31,18,P
277,1.4,1,100,10,34,18,P
278,3.2,1,100,10,30,19,P
279,1.3,1,100,10,42,19,P
280,1.3,1,100,10,33,20,P
281,1.2,1,100,10,34,20,P
282,23.2,1,100,10,37,20,P
283,1.3,1,100,10,38,21,P
284,3.2,1,100,10,32,21,P
285,1.1,1,100,10,30,21,P
286,23.1,1,100,10,29,22,P
287,1.3,1,100,10,32,22,P
288,108.1,1,100,10,30,22,P
289,1.9,1,100,49,51,14,N
290,1.6,1,100,49,51,30,N
291,9.4,0,100,49,42,33,N
292,51.4,0,100,58,57,21,N
293,52,1,100,58,52,25,N
294,51.4,1,100,58,53,30,N
