@relation data_308

@attribute Sex {female,male}
@attribute DVRT numeric
@attribute Educational_level {3rd_level_complete,3rd_level_incomplete,Junior_cycle_incomplete-secondary_school,Junior_cycle_incomplete-vocational_school,Junior_cycle_terminal_leaver-secondary_school,Junior_cycle_terminal_leaver-vocational_school,Primary_terminal_leaver,Senior_cycle_incomplete-secondary_school,Senior_cycle_incomplete-vocational_school,Senior_cycle_terminal_leaver-secondary_school}
@attribute Leaving_Certificate {not_taken,taken}
@attribute Prestige_score numeric
@attribute binaryClass {P,N}

@data
male,113,Junior_cycle_incomplete-secondary_school,not_taken,28,P
male,101,Primary_terminal_leaver,not_taken,28,N
male,110,Senior_cycle_terminal_leaver-secondary_school,taken,69,P
male,121,Junior_cycle_terminal_leaver-secondary_school,not_taken,57,P
male,82,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,N
male,85,Junior_cycle_terminal_leaver-vocational_school,not_taken,28,N
male,84,Primary_terminal_leaver,not_taken,?,N
male,98,Junior_cycle_incomplete-vocational_school,not_taken,43,N
male,92,Junior_cycle_terminal_leaver-vocational_school,not_taken,33,N
male,90,Primary_terminal_leaver,not_taken,18,N
male,88,Junior_cycle_terminal_leaver-vocational_school,not_taken,28,N
male,84,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,N
male,114,3rd_level_complete,taken,18,P
male,70,Junior_cycle_terminal_leaver-vocational_school,not_taken,57,N
male,109,Senior_cycle_terminal_leaver-secondary_school,taken,40,P
male,83,Junior_cycle_terminal_leaver-vocational_school,not_taken,43,N
male,108,Junior_cycle_terminal_leaver-vocational_school,not_taken,69,N
male,95,Junior_cycle_incomplete-secondary_school,not_taken,43,P
male,90,Junior_cycle_terminal_leaver-vocational_school,not_taken,28,N
male,107,Senior_cycle_terminal_leaver-secondary_school,taken,28,P
male,86,Primary_terminal_leaver,not_taken,18,N
male,70,Junior_cycle_incomplete-vocational_school,not_taken,43,N
male,114,Senior_cycle_terminal_leaver-secondary_school,taken,?,P
male,117,Senior_cycle_terminal_leaver-secondary_school,taken,42,P
male,112,Senior_cycle_terminal_leaver-secondary_school,taken,43,P
male,88,3rd_level_complete,taken,?,P
male,106,3rd_level_complete,taken,42,P
male,125,3rd_level_complete,taken,28,P
male,94,Senior_cycle_terminal_leaver-secondary_school,taken,?,P
male,103,Junior_cycle_terminal_leaver-secondary_school,not_taken,?,P
male,123,Senior_cycle_terminal_leaver-secondary_school,taken,46,P
male,100,Junior_cycle_terminal_leaver-vocational_school,not_taken,35,N
male,90,Junior_cycle_incomplete-secondary_school,not_taken,27,P
male,70,Junior_cycle_terminal_leaver-vocational_school,not_taken,51,N
male,90,Junior_cycle_incomplete-secondary_school,not_taken,46,P
male,99,Junior_cycle_incomplete-secondary_school,not_taken,?,P
male,123,Junior_cycle_incomplete-secondary_school,not_taken,43,P
male,127,Senior_cycle_terminal_leaver-secondary_school,taken,43,P
male,124,Senior_cycle_terminal_leaver-secondary_school,taken,62,P
male,110,Senior_cycle_incomplete-vocational_school,not_taken,27,N
male,94,Senior_cycle_terminal_leaver-secondary_school,taken,43,P
male,112,Senior_cycle_terminal_leaver-secondary_school,taken,40,P
male,123,Senior_cycle_terminal_leaver-secondary_school,taken,35,P
male,70,Junior_cycle_incomplete-secondary_school,not_taken,18,P
male,102,Junior_cycle_terminal_leaver-vocational_school,not_taken,43,N
male,126,3rd_level_complete,taken,27,P
male,121,Senior_cycle_terminal_leaver-secondary_school,taken,40,P
male,100,Junior_cycle_incomplete-vocational_school,not_taken,43,N
male,85,Junior_cycle_incomplete-vocational_school,not_taken,31,N
male,86,Junior_cycle_terminal_leaver-vocational_school,not_taken,31,N
male,101,Junior_cycle_incomplete-vocational_school,not_taken,28,N
male,91,Junior_cycle_terminal_leaver-secondary_school,not_taken,40,P
male,113,Senior_cycle_terminal_leaver-secondary_school,taken,43,P
male,103,Junior_cycle_terminal_leaver-vocational_school,not_taken,33,N
male,117,Senior_cycle_incomplete-secondary_school,not_taken,18,P
male,72,Junior_cycle_incomplete-vocational_school,not_taken,43,N
male,70,Primary_terminal_leaver,not_taken,18,N
male,112,Junior_cycle_incomplete-secondary_school,not_taken,18,P
male,65,Primary_terminal_leaver,not_taken,18,N
male,97,Junior_cycle_terminal_leaver-secondary_school,not_taken,35,P
male,100,Junior_cycle_terminal_leaver-vocational_school,not_taken,43,N
male,99,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,N
male,91,Junior_cycle_incomplete-vocational_school,not_taken,28,N
male,107,?,not_taken,43,P
male,94,Junior_cycle_incomplete-vocational_school,not_taken,43,N
male,104,Junior_cycle_terminal_leaver-secondary_school,not_taken,36,P
male,117,Senior_cycle_terminal_leaver-secondary_school,taken,?,P
male,104,Junior_cycle_terminal_leaver-secondary_school,not_taken,43,P
male,115,?,not_taken,66,P
female,123,Senior_cycle_incomplete-secondary_school,not_taken,35,P
female,103,Junior_cycle_terminal_leaver-secondary_school,not_taken,43,P
female,109,Junior_cycle_terminal_leaver-vocational_school,not_taken,43,N
female,99,Junior_cycle_terminal_leaver-secondary_school,not_taken,61,P
female,100,3rd_level_complete,taken,47,P
female,100,Junior_cycle_terminal_leaver-secondary_school,not_taken,62,P
female,107,Senior_cycle_terminal_leaver-secondary_school,taken,40,P
female,70,Primary_terminal_leaver,not_taken,18,N
female,91,Junior_cycle_terminal_leaver-secondary_school,not_taken,30,P
female,117,Senior_cycle_terminal_leaver-secondary_school,taken,43,P
female,115,Senior_cycle_terminal_leaver-secondary_school,taken,57,P
female,93,Junior_cycle_terminal_leaver-secondary_school,not_taken,43,P
female,103,Senior_cycle_terminal_leaver-secondary_school,taken,30,P
female,99,Junior_cycle_terminal_leaver-secondary_school,not_taken,57,P
female,115,Junior_cycle_incomplete-secondary_school,not_taken,36,P
female,104,Senior_cycle_terminal_leaver-secondary_school,taken,38,P
female,116,Junior_cycle_terminal_leaver-secondary_school,not_taken,47,P
female,94,Junior_cycle_incomplete-secondary_school,not_taken,51,P
female,114,3rd_level_complete,taken,43,P
female,113,Junior_cycle_terminal_leaver-secondary_school,not_taken,18,P
female,106,Junior_cycle_incomplete-vocational_school,not_taken,?,N
female,119,Senior_cycle_terminal_leaver-secondary_school,taken,57,P
female,114,Senior_cycle_terminal_leaver-secondary_school,taken,48,P
female,108,Senior_cycle_terminal_leaver-secondary_school,taken,27,P
female,97,Junior_cycle_incomplete-secondary_school,not_taken,46,P
female,83,Primary_terminal_leaver,not_taken,28,N
female,103,Junior_cycle_terminal_leaver-secondary_school,not_taken,43,P
female,104,Junior_cycle_terminal_leaver-secondary_school,not_taken,64,P
female,97,Junior_cycle_terminal_leaver-secondary_school,not_taken,18,P
female,109,Junior_cycle_terminal_leaver-secondary_school,not_taken,69,P
female,90,Junior_cycle_terminal_leaver-secondary_school,not_taken,33,P
female,114,Junior_cycle_terminal_leaver-vocational_school,not_taken,28,N
female,99,Junior_cycle_terminal_leaver-secondary_school,not_taken,38,P
female,94,Senior_cycle_terminal_leaver-secondary_school,taken,35,P
female,86,Junior_cycle_terminal_leaver-secondary_school,not_taken,28,P
female,93,Senior_cycle_terminal_leaver-secondary_school,taken,35,P
female,91,Junior_cycle_terminal_leaver-vocational_school,not_taken,28,N
female,109,Senior_cycle_incomplete-secondary_school,not_taken,40,P
female,91,Junior_cycle_terminal_leaver-secondary_school,not_taken,28,P
female,106,Junior_cycle_terminal_leaver-vocational_school,not_taken,28,N
female,109,Senior_cycle_terminal_leaver-secondary_school,taken,43,P
female,111,Junior_cycle_terminal_leaver-secondary_school,not_taken,51,P
female,111,Junior_cycle_terminal_leaver-secondary_school,not_taken,?,P
female,106,Junior_cycle_terminal_leaver-vocational_school,not_taken,?,N
female,86,Junior_cycle_terminal_leaver-vocational_school,not_taken,40,N
female,107,Junior_cycle_incomplete-secondary_school,not_taken,18,P
female,103,Primary_terminal_leaver,not_taken,28,N
female,100,Junior_cycle_incomplete-secondary_school,not_taken,18,P
female,101,Junior_cycle_terminal_leaver-secondary_school,not_taken,38,P
female,97,Junior_cycle_incomplete-vocational_school,not_taken,36,N
female,105,Junior_cycle_terminal_leaver-vocational_school,not_taken,46,N
female,98,Junior_cycle_incomplete-vocational_school,not_taken,37,N
female,111,Junior_cycle_terminal_leaver-secondary_school,not_taken,18,P
female,88,Junior_cycle_incomplete-secondary_school,not_taken,57,P
female,123,Junior_cycle_terminal_leaver-secondary_school,not_taken,28,P
female,98,Junior_cycle_terminal_leaver-secondary_school,not_taken,33,P
female,94,Junior_cycle_terminal_leaver-vocational_school,not_taken,43,N
female,109,Junior_cycle_terminal_leaver-secondary_school,not_taken,28,P
female,70,Primary_terminal_leaver,not_taken,18,N
female,75,Junior_cycle_incomplete-vocational_school,not_taken,33,N
female,72,Senior_cycle_terminal_leaver-secondary_school,taken,18,P
female,70,Junior_cycle_incomplete-vocational_school,not_taken,18,N
female,70,Primary_terminal_leaver,not_taken,18,N
female,70,Primary_terminal_leaver,not_taken,18,N
female,70,Primary_terminal_leaver,not_taken,18,N
female,85,Primary_terminal_leaver,not_taken,18,N
female,108,Junior_cycle_terminal_leaver-vocational_school,not_taken,28,N
female,75,Junior_cycle_incomplete-vocational_school,not_taken,28,N
female,104,Senior_cycle_terminal_leaver-secondary_school,taken,?,P
female,103,Junior_cycle_terminal_leaver-secondary_school,not_taken,38,P
female,122,3rd_level_complete,taken,38,P
female,110,Senior_cycle_terminal_leaver-secondary_school,taken,40,P
male,107,Senior_cycle_terminal_leaver-secondary_school,taken,40,P
male,104,3rd_level_complete,taken,75,P
male,70,Junior_cycle_terminal_leaver-secondary_school,not_taken,58,P
male,116,?,not_taken,18,P
male,103,Primary_terminal_leaver,not_taken,43,N
male,95,Senior_cycle_terminal_leaver-secondary_school,taken,43,P
male,113,Junior_cycle_terminal_leaver-vocational_school,not_taken,?,N
male,126,Junior_cycle_incomplete-vocational_school,not_taken,61,N
male,118,Senior_cycle_terminal_leaver-secondary_school,taken,71,P
male,115,Senior_cycle_terminal_leaver-secondary_school,taken,27,P
male,89,Junior_cycle_incomplete-vocational_school,not_taken,43,N
male,113,3rd_level_complete,taken,61,P
male,85,Senior_cycle_terminal_leaver-secondary_school,taken,37,P
male,95,Senior_cycle_terminal_leaver-secondary_school,taken,43,P
male,109,3rd_level_complete,taken,57,P
male,111,Senior_cycle_terminal_leaver-secondary_school,taken,69,P
male,116,Senior_cycle_terminal_leaver-secondary_school,taken,75,P
male,90,Senior_cycle_incomplete-vocational_school,not_taken,43,N
male,90,Junior_cycle_incomplete-vocational_school,not_taken,28,N
male,82,Primary_terminal_leaver,not_taken,31,N
male,84,?,not_taken,33,P
male,117,Senior_cycle_incomplete-vocational_school,not_taken,28,N
male,71,Senior_cycle_incomplete-vocational_school,not_taken,40,N
male,104,3rd_level_incomplete,taken,69,P
male,86,Junior_cycle_incomplete-vocational_school,not_taken,18,N
male,79,Junior_cycle_terminal_leaver-vocational_school,not_taken,46,N
male,80,Junior_cycle_terminal_leaver-vocational_school,not_taken,65,N
male,99,Senior_cycle_terminal_leaver-secondary_school,taken,18,P
male,86,Junior_cycle_incomplete-vocational_school,not_taken,61,N
male,116,3rd_level_complete,taken,18,P
male,124,Senior_cycle_terminal_leaver-secondary_school,taken,65,P
